Real Madrid,Real MadridBayern Munich,Full Time,"Santiago Bernabéu, Madrid, Spain",FT
Club Brugge,Club BruggeFiorentina,Full Time,"Jan Breydelstadion, Brugge, Belgium",FT
Houston Dash,Houston DashNJ/NY Gotham FC,,"Shell Energy Stadium, Houston, Texas, USA",8:00 PM
San Diego Wave FC,San Diego Wave FCUtah Royals,,"Snapdragon Stadium, San Diego, California, USA",10:00 PM
Seattle Reign FC,Seattle Reign FCKansas City Current,,"Lumen Field, Seattle, Washington, USA",10:00 PM
Guadalajara,GuadalajaraToluca,1st Leg,"Estadio Akron, Guadalajara, Mexico",9:05 PM
Pachuca,PachucaAmérica,1st Leg,"Estadio Hidalgo, Pachuca, Mexico",11:16 PM
Bordeaux,BordeauxLyon,Full Time,"Stade Sainte-Germaine, Le Bouscat, France",FT
FC Fleury 91,FC Fleury 91Montpellier,Full Time,"Stade Robert Bobin, Bondoufle, France",FT
Guingamp,GuingampLe Havre AC,Full Time,"Stade Centre Formation Eag 1, Pabu, France",FT
Paris FC,Paris FCDijon,Full Time,"Stade Charléty, Paris, France",FT
Saint-Étienne,Saint-ÉtienneLille,Full Time,"Stade Salif Keita, Saint-Etienne, France",FT
Stade de Reims,Stade de ReimsParis Saint-Germain,Full Time,"Stade Auguste-Delaune II, Reims, France",FT
Charleston Battery,Charleston BatterySouth Georgia Tormenta FC,,"Patriots Point, Mount Pleasant, South Carolina, USA",7:00 PM
Indy Eleven,Indy ElevenSan Antonio FC,,"Bud and Jackie Sellick Bowl, Indianapolis, Indiana",7:00 PM
North Carolina FC,North Carolina FCPhoenix Rising FC,,"WakeMed Soccer Park, Cary, North Carolina, USA",7:00 PM
New York City FC II,New York City FC IIColorado Springs Switchbacks FC,,"Belson Stadium, Queens, New York, USA",7:30 PM
Tampa Bay Rowdies,Tampa Bay RowdiesBirmingham Legion FC,,"Al Lang Stadium, St. Petersburg, Florida, USA",7:30 PM
Union Omaha,Union OmahaSporting Kansas City,,"Caniglia Field, Omaha, USA",8:00 PM
New Mexico United,New Mexico UnitedReal Salt Lake,,"Rio Grande Credit Union Field at Isotopes Park, Albuquerque, New Mexico, USA",9:00 PM
Las Vegas Lights FC,Las Vegas Lights FCLAFC,,"Cashman Field, Las Vegas, Nevada, USA",10:30 PM
Seattle Sounders FC,Seattle Sounders FCLouisville City FC,,"Starfire Sports Stadium, Tukwila, Washington, USA",10:30 PM
One Knoxville,One KnoxvilleForward Madison FC,,"Regal Soccer Stadium, Knoxville, Tennessee, USA",
Atlante,AtlanteU. de G.,1st Leg,"Estadio Azul, Mexico City, Mexico",9:00 PM
Talleres (Córdoba),Talleres (Córdoba)Barcelona SC,,"Mario Alberto Kempes, Córdoba, Argentina",6:00 PM
Alianza Lima,Alianza LimaCerro Porteño,,"Estadio Alejandro Villanueva, Lima, Peru",8:00 PM
Botafogo,BotafogoLiga de Quito,,"Estádio Nilton Santos, Rio de Janeiro, Brazil",8:30 PM
Cobresal,CobresalSão Paulo,,"Estadio Zorros del Desierto, Calama, Chile",8:30 PM
Millonarios,MillonariosBolívar,,"Nemesio Camacho (El Campin), Bogota, Colombia",10:00 PM
Huachipato,HuachipatoGrêmio,,"Estadio Huachipato-CAP Acero, Talcahuano, Chile",
Peterborough United,Peterborough UnitedOxford United,Full Time,"Weston Homes Stadium, Peterborough, England",FT
Deportivo Rayo Zuliano,Deportivo Rayo ZulianoAthletico-PR,,"Estadio Brígido Iriarte, Caracas, Venezuela",6:00 PM
Sportivo Luqueño,Sportivo LuqueñoCoquimbo Unido,,"Estadio ueno Defensores del Chaco, Asunción, Paraguay",6:00 PM
Cuiabá,CuiabáMetropolitanos FC,,"Arena Pantanal, Cuiabá, Brazil",8:00 PM
Nacional Potosí,Nacional PotosíFortaleza,,"Estadio Victor Agustin Ugarte, Potosí, Bolivia",8:00 PM
Trinidense,TrinidenseBoca Juniors,,"Estadio ueno La Nueva Olla, Asunción, Paraguay",8:30 PM
Colón (Santa Fe),Colón (Santa Fe)Los Andes,,"Eva Perón, Junin, Argentina",5:05 PM
Arsenal Sarandi,Arsenal SarandiEstudiantes de Río Cuarto,,"Estadio Centenario Ciudad de Quilmes, Quilmes, Buenos Aires, Argentina",
Patronato,PatronatoSan Miguel,Full Time,"Presbítero Bartolomé Grella, Parana, Argentina",FT
América-MG,América-MGVila Nova-GO,,"Estádio Raimundo Sampaio (Independência), Belo Horizonte, Brazil",8:00 PM
Envigado,EnvigadoReal Cartagena,1st Leg,"Polideportivo Sur, Envigado, Colombia",5:00 PM
Deportivo Pereira,Deportivo PereiraFortaleza CEIF,1st Leg,"Hernán Ramirez Villegas, Pereira, Colombia",8:30 PM
Club Deportivo Génesis,Club Deportivo GénesisMarathon,1st Leg,"Estadio Municipal Carlos Miranda, Comayagua",8:00 PM
Olimpia,OlimpiaCD Motagua,1st Leg,"Estadio José de la Paz Herrera Uclés, Tegucigalpa, Honduras",10:06 PM
AD Guanacasteca,AD GuanacastecaPerez Zeledon,,"Estadio Edgardo Baltodano Briceño, Liberia, Costa Rica",5:00 PM
Cartagines,CartaginesSporting San José,,"Estadio José Rafael Fello Meza Ivankovich, Cartago, Costa Rica",8:00 PM
Santos,SantosAlajuelense,,"Estadio Ebal Rodríguez Aguilar, Guápiles, Costa Rica",9:00 PM
Herediano,HeredianoPuntarenas,,Estadio Carlos Alvarado,10:30 PM
Metapan,MetapanLuis Angel Firpo,1st Leg,"Estadio Jorge Calero Suárez, Metapán",9:30 PM
Golden Arrows,Golden ArrowsMamelodi Sundowns,Full Time,"Mpumalanga Stadium, Hammarsdale, South Africa",FT
Orlando Pirates,Orlando PiratesChippa United,Full Time,"Orlando Stadium, Johannesburg, South Africa",FT
Polokwane City,Polokwane CityRichards Bay,Full Time,"Old Peter Mokaba Stadium, Polokwane, South Africa",FT
Stellenbosch,StellenboschAmazulu,Full Time,"Danie Craven Stadium, Stellenbosch, South Africa",FT
Berekum Chelsea,Berekum ChelseaHearts of Oak,Full Time,"Golden City Park, Berekum",FT
Bright Stars,Bright StarsNEC FC,Full Time,"Kavumba Recreation Centre, Wakiso",FT
SC Villa,SC VillaWakiso Giants,Full Time,"Mutesa II Wankulukuku Stadium, Kampala",FT
Vipers,VipersExpress,Full Time,"St. Mary's Stadium, Kitende, Uganda",FT
